c,id,la,lo,m,n,r
97,41,57.166775,-2.0790610000000003,Aberdeen,aberdeen,7
97,423,52.414546,-4.080401,Aberystwyth,aberystwyth,12
97,291,51.667957,-1.2774290000000001,Abingdon,abingdon,17
3,534,-20.267153,148.711122,Airlie Beach,airliebeach,4
97,10,54.564972,-1.2317879999999999,Albert,albert,9
3,52,-37.843521,144.96312,Albert Melbourne,albert-melbourne,6
85,972,-26.161115,27.968272999999996,Alberts Farm,albertsfarm,34
3,648,-36.083452,146.906532,Albury Wodonga,alburywodonga,5
97,1267,51.647953,-0.31650700000000004,Aldenham,aldenham,11
3,1721,-35.287768,138.444983,Aldinga Beach,aldingabeach,30
97,407,51.168607,-0.83814,Alice Holt,aliceholt,17
85,1247,-30.682118,26.727413000000002,Aliwal North,aliwalnorth,45
97,300,51.595936,-0.12233,Ally Pally,allypally,10
97,660,57.694306000000005,-4.2566690000000005,Alness,alness,7
3,1237,-37.875236,144.811911,Altona Beach,altonabeach,6
23,13,55.653057,12.575108,Amager Fælled,amager,24
23,292,55.662538,12.635341,Amager Strandpark,amagerstrandpark,24
85,969,-30.049276000000003,30.890566999999997,Amanzimtoti,amanzimtoti,38
98,399,38.868085,-76.995023,Anacostia,anacostia,26
65,1464,-39.522869,176.864169,Anderson,anderson,25
97,64,51.221092,-1.512766,Andover,andover,17
97,585,54.717078,-6.238818,Antrim,antrim,15
3,1666,-32.006932,115.83488500000001,Applecross,applecross,27
3,1649,-37.279711999999996,142.928756,Ararat,ararat,6
42,740,53.586088000000004,-6.1611519999999995,Ardgillan,ardgillan,29
97,658,54.339812,-6.652951,Armagh,armagh,15
3,588,-30.491998,151.639419,Armidale,armidale,5
97,164,52.307848,-1.9103330000000003,Arrow Valley,arrowvalley,14
97,103,51.14347,0.864218,Ashford,ashford,17
3,1317,-27.442334000000002,152.972975,Ashgrove,ashgrove,4
97,50,51.443591999999995,-2.639948,Ashton Court,ashton-court,16
3,987,-17.275414,145.471686,Atherton,atherton,4
42,1272,53.419270999999995,-7.904069,Athlone,athlone,29
3,487,-27.659052000000003,152.883124,Augustine Heights,augustineheights,4
74,1361,53.827144,22.999648999999998,Augustow,augustow,23
3,508,-31.789953999999998,115.988052,Aveley,aveley,27
97,158,57.205275,-3.818635,Aviemore,aviemore,7
97,450,51.83162,-0.8383940000000001,Aylesbury,aylesbury,17
97,341,55.436189,-4.624316,Ayr,ayr,7
3,1416,-37.823487,147.632774,Bairnsdale,bairnsdale,6
3,639,-37.556649,143.820637,Ballarat,ballarat,6
42,1054,54.120048,-9.146141,Ballina,ballina,29
3,1674,-28.869637,153.576356,Ballina Coast,ballinacoast,5
42,1489,51.891833,-8.605349,Ballincollig,ballincollig,29
85,1235,-29.492418,31.18044,Ballito,ballito,38
3,395,-38.166457,144.331179,Balyang Sanctuary,balyangsanctuary,6
97,38,52.068807,-1.3323180000000001,Banbury,banbury,17
97,780,54.660024,-5.661693,Bangor,bangor,15
3,1740,-38.063066,144.142907,Bannockburn Bush,bannockburnbush,6
97,3,51.307648,-0.184225,Banstead Woods,banstead,17
85,1724,-25.978656,28.396014,Bapsfontein,bapsfontein,35
97,1245,51.759056,-0.019441999999999997,Barclay,barclay,11
97,406,51.545894,0.087312,Barking,barking,10
97,240,53.544368999999996,-1.4861149999999999,Barnsley,barnsley,18
97,288,51.072561,-4.053612,Barnstaple,barnstaple,16
97,304,54.117706000000005,-3.218855,Barrow,barrow,8
65,573,-36.9597,174.91438200000002,Barry Curtis,barrycurtis,25
97,1200,51.390202,-3.271371,Barry Island,barryisland,12
97,46,51.578031,0.498392,Basildon,basildon,11
97,11,51.258831,-1.082035,Basingstoke,basingstoke,17
3,528,-35.712112,150.185995,Batemans Bay,batemansbay,5
97,121,51.364717,-2.338425,Bath Skyline,bathskyline,16
3,606,-33.414176,149.586917,Bathurst,bathurst,5
14,1670,43.259467,-79.76563,Beach Strip,beachstrip,63
97,99,51.417952,-0.0060420000000000005,Beckenham Place,beckenhamplace,10
97,378,51.511759999999995,0.046542,Beckton,beckton,10
